17:20:42: Decomposing poses, time elapse: 81.423seconds
17:20:42: Calculating kernel matrix, time elapse: 0.796seconds
17:24:19: Decomposing movements and ethograms, time elapse: 216.715seconds
09:21:11: Decomposing poses, time elapse: 77.982seconds
09:21:12: Calculating kernel matrix, time elapse: 0.761seconds
09:24:49: Decomposing movements and ethograms, time elapse: 217.32seconds
09:26:39: Decomposing completed, time elapse: 405.444seconds
21:41:31: Decomposing poses, time elapse: 52.225seconds
21:41:31: Calculating kernel matrix, time elapse: 0.61seconds
21:44:14: Decomposing movements and ethograms, time elapse: 162.32seconds
21:44:20: Decomposing completed, time elapse: 221.154seconds
21:46:30: Decomposing poses, time elapse: 51.25seconds
21:46:31: Calculating kernel matrix, time elapse: 0.567seconds
21:49:11: Decomposing movements and ethograms, time elapse: 159.805seconds
21:49:15: Decomposing completed, time elapse: 216.397seconds
21:50:30: Decomposing poses, time elapse: 43.589seconds
21:50:30: Calculating kernel matrix, time elapse: 0.491seconds
21:52:45: Decomposing movements and ethograms, time elapse: 134.356seconds
21:52:49: Decomposing completed, time elapse: 182.34seconds
21:53:58: Decomposing poses, time elapse: 43.878seconds
21:53:58: Calculating kernel matrix, time elapse: 0.446seconds
21:55:56: Decomposing movements and ethograms, time elapse: 117.505seconds
21:55:59: Decomposing completed, time elapse: 165.676seconds
21:57:05: Decomposing poses, time elapse: 42.559seconds
21:57:05: Calculating kernel matrix, time elapse: 0.404seconds
21:57:47: Decomposing movements and ethograms, time elapse: 42.195seconds
21:57:51: Decomposing completed, time elapse: 89.03seconds
21:59:01: Decomposing poses, time elapse: 48.982seconds
21:59:02: Calculating kernel matrix, time elapse: 0.599seconds
22:00:05: Decomposing movements and ethograms, time elapse: 63.678seconds
22:00:10: Decomposing completed, time elapse: 117.756seconds
22:01:24: Decomposing poses, time elapse: 44.568seconds
22:01:25: Calculating kernel matrix, time elapse: 0.409seconds
22:03:14: Decomposing movements and ethograms, time elapse: 109.805seconds
22:03:18: Decomposing completed, time elapse: 158.517seconds
22:04:30: Decomposing poses, time elapse: 50.745seconds
22:04:31: Calculating kernel matrix, time elapse: 0.64seconds
